leader,id,date,total_amount,group,Grant start date,start_month,type,location
Hu Jintao/Kim Jong-il,103,9/10/2004-9/13/2004,1,jintao,3/11/10,11,Non-summit,North Korea
Hu Jintao/Kim Jong-il,104,10/18/2004 - 10/20/2004,1,jintao,3/11/10,3,Non-summit,China
Hu Jintao/Kim Jong-il,105,2/19/2005 - 2/22/2005,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,106,3/22/2005 - 3/27/2005,1,jintao,3/11/10,3,Non-summit,China
Hu Jintao/Kim Jong-il,107,7/12/2005 - 7/13/2005,1,jintao,2/4/10,2,Non-summit,North Korea
Hu Jintao/Kim Jong-il,108,10/8/2005 - 10/10/2005,1,jintao,8/3/09,8,Non-summit,North Korea
Hu Jintao/Kim Jong-il,109,10/28/2005 - 10/30/2005,15,jintao,11/12/09,11,Summit,North Korea
Hu Jintao/Kim Jong-il,110,1/10/2006 - 1/18/2006,15,jintao,3/11/10,3,Summit,China
Hu Jintao/Kim Jong-il,111,4/4/2006 - 4/6/2006,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,112,5/30/2006 - 6/6/2006,1,jintao,3/11/10,3,Non-summit,China
Hu Jintao/Kim Jong-il,113,7/10/2006 - 7/15/2006,1,jintao,3/11/10,2,Non-summit,North Korea
Hu Jintao/Kim Jong-il,114,7/11/2006 - 7/15/2006,1,jintao,3/11/10,8,Non-summit,China
Hu Jintao/Kim Jong-il,115,10/20/06,1,jintao,2/4/10,11,Non-summit,North Korea
Hu Jintao/Kim Jong-il,116,7/2/2007 - 7/3/2007,1,jintao,8/3/09,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,117,10/30/2007 - 11/3/2007,1,jintao,11/12/09,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,118,1/29/2008 - 2/2/2008,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,119,4/26/2008 - 4/29/2008,1,jintao,3/11/10,2,Non-summit,China
